market_id,question,closed,volume,startDate,endDate,clobTokenIds,ticker,market_type,resolution_date,strike,strike_low,strike_high,volume_num,resolvable
516926,MicroStrategy sells any Bitcoin in 2025?,True,17976157.529867,2024-12-31T18:51:34.648Z,2025-12-31T12:00:00Z,"[""93592949212798121127213117304912625505836768562433217537850469496310204567695"", ""3074539347152748632858978545166555332546941892131779352477699494423276162345""]",,other,2025-12-31,,,,17976157.529867,False
824952,"MicroStrategy sells any Bitcoin by December 31, 2026?",False,411380.97041600215,2025-12-04T21:46:05.703374Z,2026-07-01T04:00:00Z,"[""111128191581505463501777127559667396812474366956707382672202929745167742497287"", ""99807503632459517030616292055983105381849115736225256331133222076990620978808""]",,other,2026-07-01,,,,411380.97041600215,False
692250,"MicroStrategy sells any Bitcoin by March 31, 2026?",False,2176731.1476200046,2025-11-19T23:54:36.827403Z,,"[""108547978327958467449318042977006580876058560639743186491243488736783119648127"", ""61476326573463890939120700176570456436619008823217970387484180237661307640203""]",,other,,,,,2176731.1476200046,False
692258,"MicroStrategy sells any Bitcoin by June 30, 2026?",False,768845.8207319961,2025-11-19T22:51:30.483Z,2026-07-01T04:00:00Z,"[""110251828161543119357013227499774714771527179764174739487025581227481937033858"", ""65176388692130651396848427090788038285140833850265294793449655516920659740141""]",,other,2026-07-01,,,,768845.8207319961,False
670058,NYSE marketwide circuit breaker before 2027?,False,37257.36457000003,2025-11-07T21:20:55.697808Z,2026-12-31T00:00:00Z,"[""10776578084439550181526173165818979034936800182797800156144227188229495479910"", ""47244521176243504831320010374030626206943608425325384795080723420898313839532""]",,other,2026-12-31,,,,37257.36457000003,False
1328423,Will MicroStrategy be margin called in 2026?,False,44305.00855899995,2026-02-03T19:56:52.205176Z,2027-01-01T05:00:00Z,"[""64193707559097777357398817187632553231036290939337200213278440657784831973749"", ""20544797793205091628099451364763541178608601179891952605129175112965968762483""]",,other,2027-01-01,,,,44305.00855899995,False
1370744,"S&P 500 all time high by February 20, 2026?",True,24214.605566,2026-02-12T22:29:02.837483Z,2026-03-31T00:00:00Z,"[""6133812547429416683034627289315670396151019639875854905903261880013699468624"", ""92366981069732017037090582564626008214990956161740618092811873448783451695313""]",SPY,sp500_ath,2026-03-31,,,,24214.605566,False
1370745,"S&P 500 all time high by March 31, 2026?",False,166760.44124800028,2026-02-12T22:28:59.92264Z,2026-03-31T00:00:00Z,"[""90970746370012124655466959862759858539973487299075078497540604411394363461154"", ""27740287995309226785550255962342972647885933845418029474822444001520715983901""]",SPY,sp500_ath,2026-03-31,,,,166760.44124800028,False
1432260,Will Netflix reach $455 in March?,False,40454.57311000001,2026-02-25T05:02:59.724282Z,2026-04-01T03:59:59.999Z,"[""577061238489195832573982452718738263756143360300329789982091656417698421021"", ""46882243077228068318462874854259712219248433383386501585568933729528428573879""]",NFLX,monthly_hit,2026-03-31,455.0,,,40454.57311000001,False
1432278,Will Netflix reach $228 in March?,False,61869.32675599998,2026-02-25T05:03:07.674801Z,2026-04-01T03:59:59.999Z,"[""111352510883025757939258431108591044585069490771224527459126562478694747643086"", ""20620984593275419844131990428023000554153590296958569319681200762270668957346""]",NFLX,monthly_hit,2026-03-31,228.0,,,61869.32675599998,False
1432297,Will Netflix dip to $70 in March?,False,2268.716819,2026-02-25T05:03:40.325667Z,2026-04-01T03:59:59.999Z,"[""58483786429152923794172996801705731566778068078776362209632174438489171816066"", ""22621139339976670788890927849545094781093486590077263823710860968669804521195""]",NFLX,monthly_dip,2026-03-31,70.0,,,2268.716819,False
1432265,Will Netflix reach $368 in March?,False,25735.05021,2026-02-25T05:03:34.139478Z,2026-04-01T03:59:59.999Z,"[""43108611949128148807425138184375068837395575283498443398890159141660353535501"", ""107681718088140726370606329198562476575190718894340177599835700708976194695930""]",NFLX,monthly_hit,2026-03-31,368.0,,,25735.05021,False
1432283,Will Netflix reach $175 in March?,False,,2026-02-25T05:03:26.898857Z,2026-04-01T03:59:59.999Z,"[""88387313227826018871081136660401341441965159359747144300561793891882458603212"", ""108061417919353771651017148488541694319474645176957132306811440402297174865354""]",NFLX,monthly_hit,2026-03-31,175.0,,,,False
1432288,Will Netflix reach $140 in March?,False,983.9066469999999,2026-02-25T05:03:53.175868Z,2026-04-01T03:59:59.999Z,"[""36529202468063674599065879283887140097390615328821167583623402522030935978968"", ""20623991074339564049653078458981997693406157571284460074451641852237549836257""]",NFLX,monthly_hit,2026-03-31,140.0,,,983.906647,False
1432292,Will Netflix reach $105 in March?,False,18569.364049000018,2026-02-25T05:03:45.46271Z,2026-04-01T03:59:59.999Z,"[""79542791066184500834508473050021405034292437772593335316772202369387142423405"", ""6664656956184585840325330278425575646159273252289869337122787073679499582265""]",NFLX,monthly_hit,2026-03-31,105.0,,,18569.364049000014,False
1432302,Will Netflix dip to $35 in March?,False,4269.695619,2026-02-25T05:06:49.745331Z,2026-04-01T03:59:59.999Z,"[""76810003501756296247224820286242191694082519869870313189221021194807517388419"", ""29552494078795968213443387485111311963056125461685197277039259754640516522284""]",NFLX,monthly_dip,2026-03-31,35.0,,,4269.695619,False
1432271,Will Netflix reach $298 in March?,False,14736.830437,2026-02-25T05:05:58.301852Z,2026-04-01T03:59:59.999Z,"[""98000066483750496105905918569604985135764912502555250842453525123589629352936"", ""115715897691596190297964922992873074478080457521210648764147800143247465815536""]",NFLX,monthly_hit,2026-03-31,298.0,,,14736.830437,False
1432312,Will Netflix dip to $0 in March?,False,1688.646,2026-02-25T05:03:33.883666Z,2026-04-01T03:59:59.999Z,"[""54707899231477530926419125210985186824688103577144927926377475323424524330977"", ""72564967997569291937347887500237269794761459647926135266191178090558577305309""]",NFLX,monthly_dip,2026-03-31,0.0,,,1688.646,False
1432259,Will NVIDIA reach $280 in March?,False,58029.46040899998,2026-02-25T05:08:52.530135Z,2026-04-01T03:59:59.999Z,"[""47249142497451034660864334734542811828498204874753074808135920863264716510860"", ""1512192189856920086982720828742273143318359822383427712916008052219073768768""]",NVDA,monthly_hit,2026-03-31,280.0,,,58029.46040899998,False
1432282,Will NVIDIA reach $208 in March?,False,5748.852333000001,2026-02-25T05:04:39.423637Z,2026-04-01T03:59:59.999Z,"[""2584522432215387525048516118192821861052014591667615349686912180566852889325"", ""36789514666048778415632107659857722038961067676353687777467332287273522131118""]",NVDA,monthly_hit,2026-03-31,208.0,,,5748.852333000001,False
1432287,Will NVIDIA reach $200 in March?,False,19342.813199000004,2026-02-25T05:05:42.078832Z,2026-04-01T03:59:59.999Z,"[""69535608305491420566643091313992070411301780650198254308517668304539065617502"", ""79820751130619368678527241862752703133765385712736343453350582284121390561224""]",NVDA,monthly_hit,2026-03-31,200.0,,,19342.813199000004,False
1432277,Will NVIDIA reach $216 in March?,False,1802.7851450000003,2026-02-25T05:04:13.500128Z,2026-04-01T03:59:59.999Z,"[""54994948628282998931676947866091233275396638406706201466547525003177701362272"", ""27090941763812607992077045645414744067944941703325422272342727272560819780773""]",NVDA,monthly_hit,2026-03-31,216.0,,,1802.7851450000005,False
1432264,Will NVIDIA reach $260 in March?,False,25269.17727,2026-02-25T05:06:12.151006Z,2026-04-01T03:59:59.999Z,"[""65016520262479769798911340257584802347695849210445053554409928153517789115882"", ""21597875377410700144953291684522418445143934101458193751764922361742568917304""]",NVDA,monthly_hit,2026-03-31,260.0,,,25269.17727,False
1432268,Will NVIDIA reach $244 in March?,False,1842.4259949999998,2026-02-25T05:05:50.728058Z,2026-04-01T03:59:59.999Z,"[""39522896038551308361170355618049488508843992720943785558229057667433458226658"", ""111406789633789588930859009142390895848078819210860900303940956395466914584174""]",NVDA,monthly_hit,2026-03-31,244.0,,,1842.425995,False
1432272,Will NVIDIA reach $228 in March?,False,6740.755205,2026-02-25T05:04:53.977399Z,2026-04-01T03:59:59.999Z,"[""28323290269362045512048103089495414530252091420889565449351342139413477890823"", ""15062314030579284634248991514895202566611442173090420457352944798176589679951""]",NVDA,monthly_hit,2026-03-31,228.0,,,6740.755205,False
1432293,Will NVIDIA dip to $192 in March?,True,189031.766976,2026-02-25T05:05:31.656123Z,2026-04-01T03:59:59.999Z,"[""39946087864431900643653993028639858016027243059734386795794027191492054375849"", ""16076321256634743636257548607552563408005029322177575908207137582510224793687""]",NVDA,monthly_dip,2026-03-31,192.0,,,189031.766976,True
1432342,Will NVIDIA dip to $116 in March?,False,87368.31878199999,2026-02-25T05:03:45.721705Z,2026-04-01T03:59:59.999Z,"[""47737225321303566064723303188264656066253396085109905247593390310305600901118"", ""102388609768023892548152423655652262152000723671677900536657378551498338343589""]",NVDA,monthly_dip,2026-03-31,116.0,,,87368.31878199999,False
