check,variant,n,brier,rel,ece
binning,5 bins,5225,0.1312,0.0018,0.0381
binning,10 bins,5225,0.1312,0.0039,0.0419
binning,15 bins,5225,0.1312,0.0029,0.0437
binning,20 bins,5225,0.1312,0.0043,0.0453
extreme_filter,Base: 1%-99%,5225,0.1312,0.0039,0.0419
extreme_filter,All prices (no filter),7757,0.0954,0.0025,0.0265
extreme_filter,Strict: 2%-98%,4561,0.149,0.0044,0.0472
extreme_filter,Very strict: 5%-95%,3872,0.1715,0.0053,0.0542
volume_filter,Full sample,5225,0.1312,0.0039,0.0419
volume_filter,Exclude bottom 10%,4104,0.1292,0.0029,0.035
volume_filter,Exclude bottom 20%,3648,0.1301,0.0031,0.034
volume_filter,Exclude bottom 33%,3055,0.1379,0.0026,0.0317
