ticker,total,closed,resolvable
TSLA,917,847,817
AMZN,912,842,827
GOOGL,905,835,820
NVDA,898,829,812
AAPL,896,838,823
MSFT,892,834,819
META,858,800,787
PLTR,686,633,632
NFLX,662,616,613
OPEN,662,610,610
ABNB,101,101,100
RKLB,93,93,93
COIN,38,36,36
HOOD,38,36,36
M,7,7,0
H,6,6,0
AI,6,6,0
AF,6,6,0
AG,6,6,0
AB,6,6,0
AD,6,6,0
AC,6,6,0
AE,6,6,0
AA,6,6,0
W,6,6,0
Z,6,6,0
Y,6,6,0
X,6,6,0
J,6,6,0
L,6,6,0
K,6,6,0
I,6,6,0
R,6,6,0
P,6,6,0
S,6,6,0
Q,6,6,0
O,6,6,0
U,6,6,0
T,6,6,0
N,6,6,0
F,6,6,0
G,6,6,0
E,6,6,0
V,6,6,0
AL,5,5,0
AK,5,5,0
AJ,5,5,0
AM,5,5,0
AS,5,5,0
AT,5,5,0
AV,5,5,0
AR,5,5,0
AQ,5,5,0
AP,5,5,0
AO,5,5,0
AH,5,5,0
AN,5,5,0
D,5,5,0
AU,5,5,0
AW,5,5,0
AX,5,5,0
C,5,5,0
LULU,4,4,0
B,4,4,0
TTD,3,3,0
WBD,3,3,0
A,3,3,0
MSTR,3,3,0
MU,3,3,0
PANW,2,2,0
INTC,2,2,0
MRVL,2,2,0
ADI,2,2,0
AMD,2,2,0
TEAM,2,2,0
SPY,2,1,0
ARM,2,2,0
APP,2,2,0
AVGO,2,2,0
ADBE,2,2,0
ODFL,2,2,0
CTSH,2,2,0
CMCSA,2,2,0
AMGN,1,1,0
ACN,1,1,0
ADSK,1,1,0
AEO,1,1,0
ASAN,1,1,0
CBRL,1,1,0
CASY,1,1,0
CAG,1,1,0
BURL,1,1,0
BLSH,1,1,0
BRZE,1,1,0
BKR,1,1,0
BKNG,1,1,0
BBW,1,1,0
BJ,1,1,0
BBY,1,1,0
BBWI,1,1,0
AZO,1,1,0
ANF,1,1,0
ASO,1,1,0
FRO,1,1,0
GAP,1,1,0
DBI,1,1,0
DDOG,1,1,0
DE,1,1,0
DLTR,1,1,0
DELL,1,1,0
CXM,1,1,0
CHWY,1,1,0
CPRT,1,1,0
CPB,1,1,0
CRWD,1,1,0
CRM,1,1,0
CTAS,1,1,0
COST,1,1,0
CHTR,1,1,0
CCL,1,1,0
MCHP,1,1,0
MAR,1,1,0
LW,1,1,0
LRCX,1,1,0
LEN,1,1,0
LOW,1,1,0
KR,1,1,0
KSS,1,1,0
KBH,1,1,0
KFY,1,1,0
KMX,1,1,0
KLAC,1,1,0
IDXX,1,1,0
INTU,1,1,0
IOT,1,1,0
JEF,1,1,0
GEHC,1,1,0
GME,1,1,0
GFS,1,1,0
HPE,1,1,0
HPQ,1,1,0
GIS,1,1,0
DG,1,1,0
DKS,1,1,0
DY,1,1,0
DXCM,1,1,0
DOCU,1,1,0
FDS,1,1,0
FDX,1,1,0
FIVE,1,1,0
OKTA,1,1,0
MTN,1,1,0
RBRK,1,1,0
RH,1,1,0
PYPL,1,1,0
PAYX,1,1,0
PCAR,1,1,0
PD,1,1,0
PDD,1,1,0
PLAY,1,1,0
ORCL,1,1,0
MDB,1,1,0
NKE,1,1,0
MELI,1,1,0
SWBI,1,1,0
SJM,1,1,0
SMTC,1,1,0
SBUX,1,1,0
URBN,1,1,0
UNFI,1,1,0
TMUS,1,1,0
TGT,1,1,0
SNOW,1,1,0
VSCO,1,1,0
VRSK,1,1,0
VIK,1,1,0
WIX,1,1,0
WDFC,1,1,0
WDAY,1,1,0
WMT,1,1,0
WWD,1,1,0
WSM,1,1,0
ZM,1,1,0
ZS,1,1,0
